BatteryLevel,CPUCycles,Checkpoint
41.62,950613,true
44.73,951614,true
44.24,952615,true
42.69,953616,true
41.96,954617,true
40.92,955618,true
40.48,956619,true
39.23,957620,true
37.99,958621,true
47.89,959622,true
46.83,960623,true
47.38,961624,true
45.82,962626,true
33.18,963627,true
24.01,964628,true
22.99,965629,true
34.77,966630,true
44.61,967631,true
43.23,968632,true
43.18,969633,true
41.79,970636,true
40.27,971637,true
40.08,972638,true
38.03,973640,true
37.91,974641,true
37.92,975642,true
41.54,976643,true
32.50,977644,true
31.85,978645,true
32.60,979646,true
37.77,980647,true
25.74,981648,true
38.87,982649,true
55.51,983651,true
54.56,984653,true
58.71,985654,true
57.64,986655,true
55.81,987656,true
54.78,988658,true
52.65,989660,true
52.12,990661,true
51.89,991662,true
52.86,992663,true
52.36,993664,true
52.20,994665,true
50.76,995666,true
50.09,996667,true
49.63,997668,true
50.36,998669,true
48.46,999670,true
54.81,1000671,true
53.79,1001672,true
53.54,1002673,true
43.57,1003674,true
44.62,1004676,true
44.03,1005677,true
43.10,1006678,true
43.53,1007680,true
43.25,1008681,true
43.46,1009682,true
42.22,1010683,true
42.44,1011684,true
33.05,1012685,true
32.45,1013688,true
32.83,1014689,true
30.71,1015690,true
28.81,1016691,true
27.88,1017692,true
26.77,1018693,true
26.35,1019694,true
36.21,1020695,true
35.54,1021696,true
48.22,1022698,true
47.80,1023699,true
47.61,1024700,true
47.71,1025701,true
55.28,1026702,true
52.69,1027704,true
52.95,1028705,true
52.12,1029706,true
49.91,1030707,true
49.26,1031708,true
47.47,1032709,true
47.09,1033710,true
47.27,1034711,true
45.35,1035712,true
44.92,1036713,true
34.02,1037714,true
32.64,1038715,true
32.77,1039716,true
32.30,1040718,true
30.72,1041720,true
30.14,1042721,true
42.95,1043722,true
46.80,1044723,true
45.68,1045724,true
45.29,1046725,true
43.56,1047726,true
31.67,1048727,true
30.79,1049728,true
29.74,1050729,true
28.72,1051730,true
28.14,1052731,true
27.19,1053732,true
25.85,1054733,true
23.96,1055734,true
22.13,1056735,true
20.70,1057736,true
33.59,1058737,true
41.06,1059738,true
39.68,1060739,true
38.18,1061740,true
39.05,1062741,true
37.66,1063742,true
37.97,1064744,true
37.71,1065745,true
43.94,1066747,true
42.76,1067748,true
43.06,1068749,true
42.34,1069753,true
40.82,1070754,true
40.06,1071755,true
40.84,1072756,true
40.37,1073758,true
39.80,1074759,true
46.22,1075761,true
48.22,1076763,true
53.49,1077764,true
53.04,1078765,true
51.39,1079766,true
51.83,1080767,true
50.47,1081768,true
50.12,1082769,true
48.34,1083770,true
46.68,1084771,true
44.75,1085772,true
43.43,1086773,true
41.82,1087774,true
42.25,1088775,true
39.43,1089776,true
39.46,1090777,true
57.68,1091778,true
56.54,1092779,true
55.78,1093780,true
53.62,1094781,true
53.97,1095782,true
53.23,1096784,true
53.43,1097785,true
53.48,1098786,true
53.08,1099787,true
52.59,1100788,true
51.52,1101790,true
50.17,1102791,true
51.39,1103792,true
60.50,1104793,true
59.45,1105794,true
57.41,1106795,true
56.15,1107796,true
55.08,1108797,true
55.77,1109798,true
54.80,1110799,true
53.98,1111800,true
54.15,1112804,true
53.85,1113806,true
53.14,1114807,true
53.22,1115808,true
52.52,1116809,true
51.64,1117810,true
50.43,1118812,true
49.77,1119813,true
52.04,1120814,true
51.52,1121816,true
51.97,1122817,true
52.11,1123818,true
51.54,1124819,true
51.39,1125824,true
50.41,1126825,true
48.40,1127826,true
47.28,1128827,true
44.46,1129830,true
43.82,1130831,true
43.39,1131832,true
40.77,1132833,true
39.63,1133834,true
43.40,1134835,true
42.44,1135836,true
43.02,1136837,true
42.29,1137838,true
40.97,1138840,true
37.94,1139841,true
46.83,1140842,true
44.87,1141843,true
43.06,1142844,true
29.89,1143845,true
29.30,1144846,true
27.74,1145847,true
26.94,1146848,true
25.51,1147849,true
31.78,1148850,true
29.50,1149852,true
28.35,1150855,true
28.16,1151856,true
26.78,1152857,true
32.59,1153858,true
31.92,1154863,true
49.99,1155864,true
47.82,1156865,true
48.21,1157866,true
46.98,1158869,true
44.95,1159873,true
44.28,1160874,true
30.70,1161875,true
29.89,1162876,true
35.55,1163877,true
34.79,1164880,true
33.97,1165881,true
43.58,1166882,true
41.98,1167883,true
40.20,1168884,true
39.76,1169885,true
39.32,1170887,true
38.08,1171889,true
45.62,1172890,true
44.55,1173891,true
43.74,1174892,true
43.97,1175894,true
43.39,1176896,true
43.68,1177897,true
44.16,1178898,true
43.49,1179899,true
43.13,1180900,true
42.25,1181901,true
29.53,1182903,true
29.17,1183904,true
36.59,1184905,true
40.94,1185906,true
39.15,1186908,true
37.86,1187909,true
35.79,1188910,true
33.85,1189911,true
33.28,1190912,true
40.03,1191914,true
39.31,1192915,true
52.62,1193917,true
53.20,1194918,true
52.69,1195919,true
46.06,1196920,true
36.81,1197921,true
45.17,1198922,true
44.14,1199923,true
42.90,1200924,true
33.31,1201925,true
32.07,1202926,true
31.84,1203928,true
38.18,1204929,true
37.21,1205930,true
35.89,1206931,true
34.33,1207933,true
32.60,1208934,true
30.84,1209935,true
29.78,1210936,true
29.32,1211937,true
36.83,1212938,true
35.59,1213939,true
49.88,1214940,true
54.32,1215941,true
61.85,1216942,true
61.31,1217943,true
60.60,1218944,true
60.00,1219945,true
60.12,1220946,true
51.83,1221947,true
52.33,1222948,true
44.44,1223949,true
45.93,1224950,true
44.86,1225951,true
44.45,1226952,true
43.21,1227953,true
50.49,1228955,true
51.02,1229956,true
50.57,1230957,true
49.46,1231958,true
47.83,1232959,true
45.68,1233960,true
43.95,1234961,true
44.59,1235963,true
44.63,1236964,true
36.45,1237965,true
35.41,1238966,true
34.39,1239967,true
40.22,1240968,true
37.58,1241969,true
34.75,1242970,true
25.84,1243971,true
23.69,1244972,true
34.59,1245973,true
33.62,1246974,true
46.63,1247975,true
45.19,1248976,true
44.26,1249977,true
43.33,1250978,true
41.79,1251979,true
44.76,1252980,true
43.39,1253982,true
42.94,1254983,true
42.02,1255985,true
41.02,1256986,true
40.08,1257987,true
37.92,1258989,true
37.33,1259990,true
37.14,1260991,true
37.02,1261992,true
36.59,1262993,true
33.81,1263994,true
43.32,1264995,true
43.33,1265996,true
41.90,1266997,true
39.52,1267998,true
47.59,1269000,true
46.87,1270001,true
52.65,1271002,true
52.00,1272004,true
50.73,1273005,true
50.78,1274006,true
44.26,1275007,true
44.07,1276008,true
43.06,1277009,true
42.53,1278012,true
40.18,1279013,true
38.65,1280014,true
52.71,1281015,true
43.39,1282017,true
43.50,1283019,true
43.06,1284020,true
42.39,1285021,true
41.16,1286022,true
38.65,1287023,true
36.42,1288024,true
36.29,1289026,true
41.47,1290028,true
40.58,1291030,true
39.51,1292031,true
39.12,1293032,true
37.54,1294036,true
37.10,1295038,true
36.25,1296039,true
49.41,1297042,true
49.04,1298043,true
48.03,1299045,true
45.71,1300046,true
44.58,1301047,true
44.12,1302049,true
44.21,1303050,true
44.80,1304052,true
43.97,1305054,true
42.75,1306057,true
41.83,1307059,true
40.58,1308061,true
39.32,1309063,true
52.47,1310065,true
51.50,1311066,true
50.50,1312067,true
49.17,1313069,true
48.01,1314071,true
45.97,1315072,true
45.30,1316073,true
44.36,1317075,true
44.51,1318077,true
44.21,1319080,true
